FixedRef,AliasTypeID,Primary,LowQuality,ParentRef,DocumentedNameID,NamePartValue,NamePartGroupID,DocNameStatusID,ScriptID,Acronym
36,1403,true,false,36,4375,AEROCARIBBEAN AIRLINES,6700,1,215,false
36,1400,false,false,36,13178,AERO-CARIBBEAN,19387,2,215,false
173,1403,true,false,173,4310,"ANGLO-CARIBBEAN CO., LTD.",6625,1,215,false
173,1400,false,false,173,12583,AVIA IMPORT,18519,2,215,false
306,1403,true,false,306,4314,BANCO NACIONAL DE CUBA,27628,1,215,false
306,1400,false,true,306,12584,BNC,27627,2,215,false
306,1400,false,false,306,12585,NATIONAL BANK OF CUBA,18521,2,215,false
424,1403,true,false,424,4322,BOUTIQUE LA MAISON,6639,1,215,false
475,1403,true,false,475,4330,CASA DE CUBA,6647,1,215,false
480,1403,true,false,480,4334,"CECOEX, S.A.",6652,1,215,false
535,1403,true,false,535,4339,CIMEX,6658,1,215,false
536,1403,true,false,536,4340,CIMEX IBERICA,6659,1,215,false
537,1403,true,false,537,4341,"CIMEX, S.A.",6660,1,215,false
540,1403,true,false,540,4342,"COMERCIAL IBEROAMERICANA, S.A.",6661,1,215,false
540,1400,false,false,540,12593,COIBA,18529,2,215,false
551,1403,true,false,551,4346,"COMERCIAL CIMEX, S.A.",6667,1,215,false
552,1403,true,false,552,4347,"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",6668,1,215,false
552,1400,false,false,552,12594,CRYMSA,18530,2,215,false
555,1403,true,false,555,4349,COMERCIALIZACION DE PRODUCTOS VARIOS,6670,1,215,false
555,1400,false,false,555,12596,COPROVA,18532,2,215,false
555,1400,false,false,555,12597,COPROVA SARL,18533,2,215,false
559,1403,true,false,559,4350,COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,6671,1,215,false
559,1400,false,false,559,12598,CIMEX,18534,2,215,false
576,1403,true,false,576,4355,"CORPORACION CIMEX, S.A.",6676,1,215,false
578,1403,true,false,578,4357,COTEI,6678,1,215,false
589,1403,true,false,589,4361,"CRYMSA - ARGENTINA, S.A.",6684,1,215,false
590,1403,true,false,590,4362,CUBACANCUN CIGARS AND GIFT SHOPS,6685,1,215,false
591,1403,true,false,591,4363,CUBAEXPORT,6686,1,215,false
592,1403,true,false,592,4364,CUBAFRUTAS,6687,1,215,false
593,1403,true,false,593,4365,CUBAN CIGARS TRADE,6688,1,215,false
621,1403,true,false,621,4366,CUBANATUR,6689,1,215,false
622,1403,true,false,622,4367,CUBATABACO,6690,1,215,false
636,1403,true,false,636,4369,"CUMEXINT, S.A.",6693,1,215,false
651,1403,true,false,651,4384,"DELVEST HOLDING, S.A.",6714,1,215,false
651,1400,false,false,651,13182,DELVEST HOLDING COMPANY,19391,2,215,false
701,1403,true,false,701,4307,EDICIONES CUBANAS,6621,1,215,false
702,1403,true,false,702,4148,"EDYJU, S.A.",6409,1,215,false
735,1403,true,false,735,4150,EMPRESA CUBANA DE AVIACION,6412,1,215,false
735,1400,false,false,735,12415,CUBANA AIRLINES,18331,2,215,false
751,1403,true,false,751,4240,EMPRESA CUBANA DE PESCADOS Y MARISCOS,61386,1,215,false
751,1400,false,true,751,12539,CARIBEX,61387,2,215,false
751,1400,false,false,751,12540,CARIBBEAN EXPORT ENTERPRISE,18473,2,215,false
758,1403,true,false,758,4247,EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL,6552,1,215,false
758,1400,false,false,758,12553,CUBATUR,18486,2,215,false
767,1403,true,false,767,4248,ETCO INTERNATIONAL COMMODITIES LTD.,6553,1,215,false
768,1403,true,false,768,4249,"ETCO INTERNATIONAL COMPANY, LIMITED",6554,1,215,false
815,1403,true,false,815,4257,"GALAX TRADING CO., LTD.",6563,1,215,false
815,1400,false,false,815,12554,GALAX INC.,18487,2,215,false
906,1403,true,false,906,4267,HAVIN BANK LIMITED,6576,1,215,false
906,1400,false,false,906,40097,"HAVANA INTERNATIONAL BANK, LTD",78217,2,215,false
907,1403,true,false,907,4268,HAVANATUR,6577,1,215,false
1042,1403,true,false,1042,4283,INSTITUTO NACIONAL DE TURISMO DE CUBA,6595,1,215,false
1043,1403,true,false,1043,4284,INTERCONSULT,6596,1,215,false
1241,1403,true,false,1241,4289,"KAVE, S.A.",6602,1,215,false
1287,1403,true,false,1287,4292,LA EMPRESA CUBANA DE FLETES,6605,1,215,false
1287,1400,false,false,1287,12559,CUFLET,18493,2,215,false
1287,1400,false,false,1287,12560,CUBAN FREIGHT ENTERPRISE,18494,2,215,false
1316,1403,true,false,1316,4147,"LEVERAGE, S.A.",6408,1,215,false
1555,1403,true,false,1555,4076,NIREF,6310,1,215,false
1570,1403,true,false,1570,4077,NORDSTRAND LTD.,6311,1,215,false
1571,1403,true,false,1571,4078,NORDSTRAND MARITIME AND TRADING COMPANY,6312,1,215,false
1641,1403,true,false,1641,4088,PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION,6327,1,215,false
1660,1403,true,false,1660,4097,"PESCABRAVA, S.A.",6341,1,215,false
1700,1403,true,false,1700,4103,PRELASA,6348,1,215,false
1701,1403,true,false,1701,4109,PRENSA LATINA CANADA LTD.,6357,1,215,false
1702,1403,true,false,1702,4110,PRENSA LATINA,6358,1,215,false
1888,1403,true,false,1888,4132,"SERVINAVES, S.A.",6390,1,215,false
2109,1403,true,false,2109,4404,"TROBER, S.A.",6743,1,215,false
2109,1400,false,false,2109,13215,"TROVER, S.A.",19439,2,215,false
2110,1403,true,false,2110,4405,TROPIC TOURS GMBH,6744,1,215,false
2110,1400,false,false,2110,13216,TROPICANA TOURS GMBH,19440,2,215,false
2184,1403,true,false,2184,4412,"VIAJES GUAMA, S.A.",6753,1,215,false
2186,1403,true,false,2186,4413,VINALES TOURS,6754,1,215,false
2674,1403,true,false,2674,4420,Abu,71643,1,215,false
2674,1400,false,false,2674,13218,Muhammad,19444,2,215,false
2675,1403,true,false,2675,4421,Shaykh Umar Abd,71645,1,215,false
2676,1403,true,false,2676,4422,Dr. Ayman,71647,1,215,false
2676,1400,false,false,2676,13219,Ayman,19446,2,215,false
2676,1400,false,false,2676,13220,Ahmad Fuad,19448,2,215,false
2676,1400,false,false,2676,13221,Aiman Muhammad Rabi,19450,2,215,false
2677,1403,true,false,2677,44098,عبود عبداللطيف حسن,83902,2,160,false
2677,1400,false,false,2677,13222,Abbud,19452,2,215,false
2677,1400,false,false,2677,44099,Abbud,83904,2,215,false
2677,1400,false,false,2677,44100,Aboud Abdul Latif Hasan,83906,2,215,false
2677,1400,false,false,2677,44101,Abood Abdul Latif Hassan,83908,2,215,false
2677,1400,false,false,2677,44102,Abboud Abdul Latif Hassan,83910,2,215,false
2678,1403,true,false,2678,4424,Abd Al Aziz,71651,1,215,false
2679,1403,true,false,2679,4425,Shaykh Muhammad Husayn,71613,1,215,false
2681,1403,true,false,2681,4427,Nayif,71617,1,215,false
2681,1400,false,false,2681,13224,Nayif,19456,2,215,false
2681,1400,false,false,2681,13225,Nayif,19458,2,215,false
2681,1400,false,false,2681,13226,Abu,19460,2,215,false
2682,1403,true,false,2682,4428,Mohammad Shawqi,71619,1,215,false
2683,1403,true,false,2683,4429,Ahmad,71657,1,215,false
2683,1400,false,false,2683,13227,Ahmad,19462,2,215,false
2685,1403,true,false,2685,4431,Talal Muhammad Rashid,71621,1,215,false
2686,1403,true,false,2686,4432,Hasan,71623,1,215,false
2686,1400,false,false,2686,16027,Abd-al-Karim,24347,2,215,false
2690,1403,true,false,2690,4436,Subhi,71625,1,215,false
2691,1403,true,false,2691,4437,Sheik Ahmed Ismail,71627,1,215,false
