ID,FeatureTypeID,ParentRef,FeatureVersionID,ReliabilityID
150025,25,36,200025,1
150129,25,173,200129,1
150199,25,306,200199,1
150200,25,306,200200,1
150201,25,306,200201,1
150202,25,306,200202,1
150247,25,424,200247,1
150271,25,475,200271,1
150272,25,475,200272,1
150276,25,480,200276,1
150317,25,535,200317,1
150318,25,536,200318,1
150319,25,537,200319,1
150321,25,540,200321,1
150328,25,551,200328,1
150329,25,552,200329,1
150331,25,555,200331,1
150334,25,559,200334,1
150346,25,576,200346,1
150348,25,578,200348,1
150357,25,589,200357,1
150358,25,590,200358,1
150359,25,591,200359,1
150360,25,592,200360,1
150361,25,593,200361,1
150362,25,621,200362,1
150363,25,622,200363,1
150365,25,636,200365,1
150376,25,651,200376,1
150408,25,701,200408,1
150409,25,702,200409,1
150438,25,735,200438,1
150439,25,735,200439,1
150440,25,735,200440,1
150441,25,735,200441,1
150442,25,735,200442,1
150443,25,735,200443,1
150444,25,735,200444,1
150445,25,735,200445,1
150446,25,735,200446,1
150447,25,735,200447,1
150448,25,735,200448,1
150449,25,735,200449,1
150450,25,735,200450,1
150451,25,735,200451,1
150452,25,735,200452,1
150453,25,735,200453,1
150454,25,751,200454,1
150455,25,751,200455,1
150456,25,751,200456,1
150457,25,751,200457,1
150458,25,751,200458,1
150459,25,751,200459,1
150460,25,751,200460,1
150461,25,758,200461,1
150465,25,767,200465,1
150466,25,768,200466,1
150500,25,815,200500,1
36109,13,906,33828,1
36110,14,906,33829,1
36111,14,906,33830,1
194386,25,906,244386,1
194387,25,906,244387,1
150572,25,907,200572,1
150660,25,1042,200660,1
150661,25,1043,200661,1
150793,25,1241,200793,1
150825,25,1287,200825,1
150826,25,1287,200826,1
150827,25,1287,200827,1
150828,25,1287,200828,1
150829,25,1287,200829,1
150830,25,1287,200830,1
150831,25,1287,200831,1
150832,25,1287,200832,1
150833,25,1287,200833,1
150834,25,1287,200834,1
150835,25,1287,200835,1
150848,25,1316,200848,1
150997,25,1555,200997,1
151006,25,1570,201006,1
151007,25,1571,201007,1
151052,25,1641,201052,1
151069,25,1660,201069,1
151100,25,1700,201100,1
151101,25,1701,201101,1
151102,25,1702,201102,1
151237,25,1888,201237,1
151394,25,2109,201394,1
151395,25,2110,201395,1
151430,25,2184,201430,1
151431,25,2186,201431,1
151432,25,2186,201432,1
151433,25,2186,201433,1
151434,25,2186,201434,1
151435,25,2186,201435,1
1000,8,2674,3550,1
151832,25,2674,201832,1
302674,26,2674,402674,1
1001,8,2675,3551,1
1002,9,2675,3552,1
151833,25,2675,201833,1
302675,26,2675,402675,1
1003,8,2676,3553,1
1004,9,2676,3554,1
151834,25,2676,201834,1
302676,26,2676,402676,1
1005,9,2677,3555,1
40120,8,2677,37839,1
40121,10,2677,37840,1
40122,224,2677,37841,1
151835,25,2677,201835,1
1006,8,2678,3556,1
151836,25,2678,201836,1
302678,26,2678,402678,1
1007,8,2679,3557,1
1008,9,2679,3558,1
3929,8,2679,3559,1
20229,125,2679,17968,1
151837,25,2679,201837,1
302679,26,2679,402679,1
1009,8,2681,3560,1
151839,25,2681,201839,1
302681,26,2681,402681,1
1010,8,2682,3561,1
1011,9,2682,3562,1
151840,25,2682,201840,1
302682,26,2682,402682,1
1012,8,2683,3563,1
1013,9,2683,3564,1
151841,25,2683,201841,1
302683,26,2683,402683,1
1016,8,2685,3567,1
1017,9,2685,3568,1
151843,25,2685,201843,1
302685,26,2685,402685,1
1018,8,2686,3569,1
1019,9,2686,3570,1
3930,8,2686,3571,1
3931,8,2686,3572,1
3932,8,2686,3573,1
20223,125,2686,17962,1
27061,224,2686,24800,1560
187108,25,2686,237108,1
302686,26,2686,402686,1
1024,8,2690,3580,1
1025,9,2690,3581,1
151848,25,2690,201848,1
302690,26,2690,402690,1
1026,8,2691,3582,1
1027,9,2691,3583,1
151849,25,2691,201849,1
151982,25,3748,201982,1
151983,25,3749,201983,1
151984,25,3750,201984,1
151985,25,3751,201985,1
1029,8,3754,3585,1
1030,9,3754,3586,1
151991,25,3754,201991,1
303754,26,3754,403754,1
1033,8,4107,3589,1
152007,25,4107,202007,1
1034,8,4108,3590,1
1035,8,4108,3591,1
152008,25,4108,202008,1
10272,1,4238,7125,1560
10321,3,4238,7174,1560
10515,4,4238,7368,1560
10898,6,4238,7751,1560
11080,2,4238,7933,1560
152237,25,4238,202237,1
10326,3,4243,7179,1560
10722,5,4243,7575,1560
10903,6,4243,7756,1560
11085,2,4243,7938,1560
152242,25,4243,202242,1
10283,1,4249,7136,1560
10332,3,4249,7185,1560
10909,6,4249,7762,1560
11091,2,4249,7944,1560
152248,25,4249,202248,1
1061,8,4257,1341,1
1062,9,4257,1342,1
152256,25,4257,202256,1
304257,26,4257,404257,1
30012,125,4632,27751,1
152898,25,4632,202898,1
166811,25,4632,216811,1
191726,25,4632,241726,1
37293,125,4633,35012,1
37312,14,4633,35031,1
152899,25,4633,202899,1
195326,25,4633,245326,1
37294,125,4635,35013,1
37332,14,4635,35051,1
37333,14,4635,35052,1
152901,25,4635,202901,1
195327,25,4635,245327,1
195328,25,4635,245328,1
37292,125,4639,35011,1
37345,14,4639,35064,1
37346,14,4639,35065,1
152905,25,4639,202905,1
14266,125,4642,12009,1560
166813,25,4642,216813,1
166814,25,4642,216814,1
152921,25,4688,202921,1
152923,25,4690,202923,1
152924,25,4691,202924,1
152925,25,4693,202925,1
152926,25,4694,202926,1
152927,25,4695,202927,1
